Timestamp,Player IGN,CM Group,Kitasan Black LB in Account (Non-borrow),Super Creek LB in Account (Non-borrow),Select a round to fill data,R1D1 - Uma 1,R1D1 - Uma 1 Role,R1D1 - Uma 1 Running Style,R1D1 - Uma 2,R1D1 - Uma 2 Role,R1D1 - Uma 2 Running Style,R1D1 - Uma 3,R1D1 - Uma 3 Role,R1D1 - Uma 3 Running Style,R1D1 - No. of wins,R1D1 - No. of races played,R1D2 - Uma 1,R1D2 - Uma 1 Role,R1D2 - Uma 1 Running Style,R1D2 - Uma 2,R1D2 - Uma 2 Role,R1D2 - Uma 2 Running Style,R1D2 - Uma 3,R1D2 - Uma 3 Role,R1D2 - Uma 3 Running Style,R1D2 - No. of wins,R1D2 - No. of races played,Round 2 Group,R2D1 - Uma 1,R2D1 - Uma 1 Role,R2D1 - Uma 1 Running Style,R2D1 - Uma 2,R2D1 - Uma 2 Role,R2D1 - Uma 2 Running Style,R2D1 - Uma 3,R2D1 - Uma 3 Role,R2D1 - Uma 3 Running Style,R2D1 - No. of wins,R2D1 - No. of races played,R2D2 - Uma 1,R2D2 - Uma 1 Role,R2D2 - Uma 1 Running Style,R2D2 - Uma 2,R2D2 - Uma 2 Role,R2D2 - Uma 2 Running Style,R2D2 - Uma 3,R2D2 - Uma 3 Role,R2D2 - Uma 3 Running Style,R2D2 - No. of wins,R2D2 - No. of races played,Finals Group,FINALS - Uma 1,FINALS - Uma 1 Role,FINALS - Uma 1 Running Style,FINALS - Uma 2,FINALS - Uma 2 Role,FINALS - Uma 2 Running Style,FINALS - Uma 3,FINALS - Uma 3 Role,FINALS - Uma 3 Running Style,FINALS RESULTS,How much have you spent on the game so far? (EUR/USD),R1D1 - Uma 1 Role (Norm),R1D1 - Uma 2 Role (Norm),R1D1 - Uma 3 Role (Norm),R1D2 - Uma 1 Role (Norm),R1D2 - Uma 2 Role (Norm),R1D2 - Uma 3 Role (Norm),R2D1 - Uma 1 Role (Norm),R2D1 - Uma 2 Role (Norm),R2D1 - Uma 3 Role (Norm),R2D2 - Uma 1 Role (Norm),R2D2 - Uma 2 Role (Norm),R2D2 - Uma 3 Role (Norm),FINALS - Uma 1 Role (Norm),FINALS - Uma 2 Role (Norm),FINALS - Uma 3 Role (Norm),R1D1 - Uma 1 Running Style (Norm),R1D1 - Uma 2 Running Style (Norm),R1D1 - Uma 3 Running Style (Norm),R1D2 - Uma 1 Running Style (Norm),R1D2 - Uma 2 Running Style (Norm),R1D2 - Uma 3 Running Style (Norm),R2D1 - Uma 1 Running Style (Norm),R2D1 - Uma 2 Running Style (Norm),R2D1 - Uma 3 Running Style (Norm),R2D2 - Uma 1 Running Style (Norm),R2D2 - Uma 2 Running Style (Norm),R2D2 - Uma 3 Running Style (Norm),FINALS - Uma 1 Running Style (Norm),FINALS - Uma 2 Running Style (Norm),FINALS - Uma 3 Running Style (Norm)
2025-11-07 15:03:37.802,Zeneix,Graded (No Limit),MLB,0LB,End Survey,Mayano Top Gun (Wedding),Hybrid,Late Surger,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,17.0,20.0,Mayano Top Gun (Wedding),Hybrid,Late Surger,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,17.0,20.0,A,Mayano Top Gun (Wedding),Hybrid,Pace Chaser,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,10.0,20.0,Mayano Top Gun (Wedding),Hybrid,Pace Chaser,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,15.0,20.0,,,,,,,,,,,NAN,F2P,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,,,,Late Surger,Pace Chaser,Front Runner,Late Surger,Pace Chaser,Front Runner,Pace Chaser,Pace Chaser,Front Runner,Pace Chaser,Pace Chaser,Front Runner,,,
2025-11-07 15:46:50.753,FlightReacts,Graded (No Limit),MLB,,End Survey,,,,,,,,,,,,,,,,,,,,,,,B,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Gold Ship,Troll Pick / Lazy,End Closer,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,NAN,F2P,,,,,,,Ace,Ace,Other,,,,,,,,,,,,,Front Runner,Late Surger,End Closer,,,,,,
2025-11-07 16:21:30.604,Sisyphus,Graded (No Limit),MLB,0LB,End Survey,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,Air Groove,Debuffer,Front Runner,10.0,10.0,,,,,,,,,,,,B,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Air Groove,Debuffer,Front Runner,Nice Nature,Debuffer,Late Surger,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,NAN,$101-$500,Ace,Debuffer,Debuffer,,,,Ace,Debuffer,Debuffer,,,,,,,Pace Chaser,Late Surger,Front Runner,,,,Pace Chaser,Front Runner,Late Surger,,,,,,
2025-11-10 08:42:09.744,Vecol,Graded (No Limit),,1LB,End Survey,Mejiro McQueen (Anime Collab),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,6.0,20.0,Mejiro McQueen (Anime Collab),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Pace Chaser,12.0,20.0,A,Mejiro McQueen (Anime Collab),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,Late Surger,8.0,20.0,Mejiro McQueen (Anime Collab),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,3.0,20.0,A,Mejiro McQueen (Anime Collab),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,3RD,F2P,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Pace Chaser,Pace Chaser,Late Surger,Pace Chaser,Pace Chaser,Pace Chaser,Pace Chaser,Pace Chaser,Late Surger,Pace Chaser,Pace Chaser,Late Surger,Pace Chaser,Pace Chaser,Late Surger
2025-11-08 03:21:37.378,Jas,Graded (No Limit),MLB,2LB,End Survey,Hishi Amazon,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Symboli Rudolf,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Nice Nature,Debuffer,Late Surger,16.0,20.0,Hishi Amazon,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Symboli Rudolf,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Maruzensky (Summer),Blocker,Front Runner,9.0,20.0,A,Hishi Amazon,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Symboli Rudolf,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Nice Nature,Debuffer,Late Surger,10.0,20.0,Symboli Rudolf,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Hishi Amazon,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Nice Nature,Debuffer,Late Surger,14.0,20.0,,,,,,,,,,,NAN,$1000++,Ace,Ace,Debuffer,Ace,Ace,Other,Ace,Ace,Debuffer,Ace,Ace,Debuffer,,,,End Closer,End Closer,Late Surger,End Closer,End Closer,Front Runner,End Closer,End Closer,Late Surger,End Closer,End Closer,Late Surger,,,
2025-11-10 03:59:06.344,Nightmommy,Graded (No Limit),1LB,,End Survey,Symboli Rudolf,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,6.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,Symboli Rudolf,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Nice Nature,Debuffer,Late Surger,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,1ST,F2P,Ace,Ace,Debuffer,,,,,,,,,,Ace,Debuffer,Ace,Late Surger,Pace Chaser,Late Surger,,,,,,,,,,Late Surger,Late Surger,Pace Chaser
2025-11-10 00:15:37.593,Heifofalco,Graded (No Limit),,MLB,End Survey,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Hybrid,Late Surger,Nice Nature,Debuffer,Late Surger,18.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Hybrid,Late Surger,Nice Nature,Debuffer,Late Surger,20.0,20.0,,,,,,,,,,,,,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Hybrid,Late Surger,Nice Nature,Debuffer,Late Surger,10.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Hybrid,Late Surger,Nice Nature,Debuffer,Late Surger,1ST,$1-$100,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,,,,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger,,,,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger
2025-11-07 18:29:19.144,macbeth,Graded (No Limit),MLB,,End Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAN,F2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-07 18:45:45.473,Haruki,Graded (No Limit),2LB,0LB,End Survey,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Mejiro Ryan,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Nice Nature,Debuffer,Late Surger,14.0,20.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Mejiro Ryan,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Nice Nature,Debuffer,Late Surger,8.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Mejiro Ryan,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Nice Nature,Debuffer,Late Surger,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,NAN,$1-$100,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,,,,,,,End Closer,Late Surger,Late Surger,End Closer,Late Surger,Late Surger,End Closer,Late Surger,Late Surger,,,,,,
2025-11-09 07:04:41.277,Vio,Graded (No Limit),1LB,,End Survey,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Nice Nature,Debuffer,Late Surger,1.0,5.0,,,,,,,,,,,,B,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Nice Nature,Debuffer,Late Surger,1.0,5.0,Oguri Cap,Aoharu Made Ace,Pace Chaser,Mejiro Ryan,Aoharu Made Ace,Late Surger,Nice Nature,Debuffer,Late Surger,8.0,15.0,B,Oguri Cap,Aoharu Made Ace,Pace Chaser,Mejiro Ryan,Aoharu Made Ace,Late Surger,Nice Nature,Debuffer,Late Surger,1ST,F2P,Ace,Ace,Debuffer,,,,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Pace Chaser,End Closer,Late Surger,,,,Pace Chaser,End Closer,Late Surger,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger
2025-11-09 10:59:46.648,Mxkr,Graded (No Limit),2LB,2LB,End Survey,,,,,,,,,,,,,,,,,,,,,,,A,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,5.0,20.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,10.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,Aoharu Made Ace,Pace Chaser,Nice Nature,Debuffer,Late Surger,3RD,F2P,,,,,,,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,,,,,,,Front Runner,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger
2025-11-07 19:44:11.352,DarK,Graded (No Limit),1LB,,End Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Nice Nature,Debuffer,Late Surger,14.0,20.0,,,,,,,,,,,NAN,$1-$100,,,,,,,,,,Ace,Ace,Debuffer,,,,,,,,,,,,,Pace Chaser,Front Runner,Late Surger,,,
2025-11-09 09:39:39.500,Desdomenna,Graded (No Limit),1LB,0LB,End Survey,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Mayano Top Gun (Wedding),Hybrid,End Closer,Nice Nature,Debuffer,Late Surger,10.0,15.0,,,,,,,,,,,,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Mayano Top Gun (Wedding),Hybrid,End Closer,Nice Nature,Debuffer,Late Surger,6.0,15.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Mayano Top Gun (Wedding),Hybrid,End Closer,Nice Nature,Debuffer,Late Surger,7.0,15.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Mayano Top Gun (Wedding),Hybrid,End Closer,Nice Nature,Debuffer,Late Surger,1ST,$1-$100,Ace,Debuffer,Debuffer,,,,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Pace Chaser,End Closer,Late Surger,,,,Pace Chaser,End Closer,Late Surger,Pace Chaser,End Closer,Late Surger,Pace Chaser,End Closer,Late Surger
2025-11-09 20:14:06.242,Mativicus,Graded (No Limit),MLB,MLB,End Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Oguri Cap,Aoharu Made Ace,Pace Chaser,Grass Wonder,Debuffer,End Closer,17.0,20.0,A,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Oguri Cap,Aoharu Made Ace,Pace Chaser,Grass Wonder,Debuffer,End Closer,1ST,F2P,,,,,,,,,,Ace,Ace,Debuffer,Ace,Ace,Debuffer,,,,,,,,,,Front Runner,Pace Chaser,End Closer,Front Runner,Pace Chaser,End Closer
2025-11-09 06:36:09.858,Shock,Graded (No Limit),0LB,0LB,End Survey,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Nice Nature,Debuffer,Late Surger,Grass Wonder,Debuffer,Late Surger,11.0,20.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Nice Nature,Debuffer,Late Surger,Grass Wonder,Debuffer,Late Surger,10.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Nice Nature,Debuffer,Late Surger,Grass Wonder,Debuffer,Late Surger,2.0,20.0,Gold Ship,Aoharu Made Ace,End Closer,Nice Nature,Debuffer,Late Surger,Grass Wonder,Debuffer,Late Surger,10.0,20.0,A,Gold Ship,Aoharu Made Ace,End Closer,Nice Nature,Debuffer,Late Surger,Grass Wonder,Debuffer,Late Surger,1ST,F2P,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,End Closer,Late Surger,Late Surger,End Closer,Late Surger,Late Surger,End Closer,Late Surger,Late Surger,End Closer,Late Surger,Late Surger,End Closer,Late Surger,Late Surger
2025-11-09 10:02:21.538,Topperoonie,Graded (No Limit),3LB,,End Survey,Agnes Tachyon,Debuffer,Late Surger,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Seiun Sky,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,15.0,20.0,Agnes Tachyon,Debuffer,Late Surger,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Seiun Sky,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,15.0,20.0,A,Agnes Tachyon,Debuffer,Late Surger,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Seiun Sky,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,13.0,20.0,Agnes Tachyon,Debuffer,Late Surger,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Seiun Sky,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,15.0,20.0,A,Maruzensky (Summer),Aoharu Made Ace,Front Runner,Seiun Sky,Aoharu Made Ace,Front Runner,Agnes Tachyon,Debuffer,Late Surger,1ST,$1-$100,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Ace,Ace,Debuffer,Late Surger,Front Runner,Front Runner,Late Surger,Front Runner,Front Runner,Late Surger,Front Runner,Front Runner,Late Surger,Front Runner,Front Runner,Front Runner,Front Runner,Late Surger
2025-11-09 20:43:11.490,SayurKoL,Graded (No Limit),0LB,3LB,End Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Meisho Doto,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Symboli Rudolf,Debuffer,Late Surger,10.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Meisho Doto,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Symboli Rudolf,Debuffer,Late Surger,1ST,$1-$100,,,,,,,,,,Ace,Ace,Debuffer,Ace,Ace,Debuffer,,,,,,,,,,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger
2025-11-09 17:27:04.002,AdrenALI_N,Open (B And Below),,,End Survey,Winning Ticket,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Rice Shower,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,4.0,5.0,Winning Ticket,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Rice Shower,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,3.0,5.0,A,Winning Ticket,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Rice Shower,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,4.0,5.0,Winning Ticket,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Rice Shower,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,1.0,5.0,A,Winning Ticket,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Rice Shower,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,2ND,F2P,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer
2025-11-09 22:32:47.863,Jimbo,Graded (No Limit),1LB,MLB,End Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Symboli Rudolf,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Grass Wonder,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,15.0,20.0,B,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Symboli Rudolf,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Grass Wonder,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,2ND,$101-$500,,,,,,,,,,Ace,Ace,Ace,Ace,Ace,Ace,,,,,,,,,,End Closer,Late Surger,Late Surger,End Closer,Late Surger,Late Surger
2025-11-09 17:27:47.685,Travis,Graded (No Limit),MLB,1LB,End Survey,,,,,,,,,,,,,,,,,,,,,,,A,Tokai Teio (Anime Collab),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Hybrid,Late Surger,Symboli Rudolf,Hybrid,Late Surger,15.0,20.0,Tokai Teio (Anime Collab),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Hybrid,Late Surger,Symboli Rudolf,Hybrid,Late Surger,15.0,20.0,A,Tokai Teio (Anime Collab),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Hybrid,Late Surger,Symboli Rudolf,Hybrid,Late Surger,1ST,$101-$500,,,,,,,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,,,,,,,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger
2025-11-09 19:27:13.991,Kesyu,Graded (No Limit),,1LB,End Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seiun Sky,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Nice Nature,Debuffer,Late Surger,Narita Taishin,"Ace (Winner, Tanks, Recycled Aces)",End Closer,10.0,20.0,B,Narita Taishin,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Nice Nature,Debuffer,Late Surger,Seiun Sky,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,1ST,$1-$100,,,,,,,,,,Ace,Debuffer,Ace,Ace,Debuffer,Ace,,,,,,,,,,Front Runner,Late Surger,End Closer,End Closer,Late Surger,Front Runner
2025-11-10 10:15:34.850,maddychan,Graded (No Limit),MLB,MLB,End Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Nice Nature,Debuffer,Late Surger,Grass Wonder,Hybrid,Late Surger,16.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Grass Wonder,Hybrid,Late Surger,Nice Nature,Debuffer,Late Surger,2ND,$101-$500,,,,,,,,,,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,,,,,,,,,,End Closer,Late Surger,Late Surger,End Closer,Late Surger,Late Surger
2025-11-09 23:06:11.333,Caze,Graded (No Limit),,,End Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oguri Cap,Aoharu Made Ace,Pace Chaser,Nice Nature,Debuffer,Late Surger,Symboli Rudolf,Debuffer,Late Surger,4.0,5.0,A,Oguri Cap,Aoharu Made Ace,Pace Chaser,Symboli Rudolf,Debuffer,Late Surger,Nice Nature,Debuffer,Late Surger,2ND,F2P,,,,,,,,,,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,,,,,,,,,,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger
2025-11-09 07:01:38.576,Holliden,Graded (No Limit),3LB,0LB,End Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Mayano Top Gun (Wedding),Hybrid,Late Surger,Nice Nature,Debuffer,Late Surger,Oguri Cap,Aoharu Made Ace,Pace Chaser,3RD,F2P,,,,,,,,,,,,,Debuffer,Debuffer,Ace,,,,,,,,,,,,,Late Surger,Late Surger,Pace Chaser
2025-11-09 12:40:29.061,Mima,Graded (No Limit),MLB,1LB,End Survey,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Rice Shower,Hybrid,Pace Chaser,Nice Nature,Debuffer,Late Surger,17.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Rice Shower,Hybrid,Pace Chaser,Nice Nature,Debuffer,Late Surger,2ND,F2P,Ace,Debuffer,Debuffer,,,,,,,,,,Ace,Debuffer,Debuffer,End Closer,Pace Chaser,Late Surger,,,,,,,,,,End Closer,Pace Chaser,Late Surger
2025-11-09 13:25:36.745,DJ,Graded (No Limit),2LB,MLB,End Survey,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Hybrid,Late Surger,Agnes Tachyon,Hybrid,Late Surger,17.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Agnes Tachyon,Hybrid,Late Surger,Grass Wonder,Hybrid,Late Surger,11.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Hybrid,Late Surger,Agnes Tachyon,Hybrid,Late Surger,14.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Agnes Tachyon,Hybrid,Late Surger,Grass Wonder,Hybrid,Late Surger,15.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Hybrid,Late Surger,Agnes Tachyon,Hybrid,Late Surger,1ST,$1-$100,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger
2025-11-08 08:30:29.897,H1GH5,Graded (No Limit),MLB,1LB,End Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAN,$101-$500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-08 08:36:02.430,pebble,Graded (No Limit),0LB,0LB,End Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,Late Surger,Nice Nature,Debuffer,Late Surger,3RD,$1-$100,,,,,,,,,,,,,Ace,Debuffer,Debuffer,,,,,,,,,,,,,Pace Chaser,Late Surger,Late Surger
